,index,name,full_name,score
241,186,598.pdf,train/598.pdf,0.23990611240020654
242,2563,807.pdf,train/807.pdf,0.23974325218985118
243,2550,344.pdf,train/344.pdf,0.23965501543914158
244,2560,3560.pdf,train/3560.pdf,0.23951162889092248
245,2080,2583.pdf,train/2583.pdf,0.23946346820447928
246,769,856.pdf,train/856.pdf,0.23942159886224287
247,1225,2204.pdf,train/2204.pdf,0.2393297762119882
248,1106,2198.pdf,train/2198.pdf,0.23906998338253238
249,1908,1935.pdf,train/1935.pdf,0.23899107040586878
250,984,698.pdf,train/698.pdf,0.23886867868190997
251,1788,2807.pdf,train/2807.pdf,0.23884545080526562
252,2581,90.pdf,train/90.pdf,0.23883895030017602
253,2546,3038.pdf,train/3038.pdf,0.23880045801435748
254,1034,1046.pdf,train/1046.pdf,0.23862493368559895
255,294,3550.pdf,train/3550.pdf,0.23851023386338208
256,372,774.pdf,train/774.pdf,0.2382796920971518
257,2553,436.pdf,train/436.pdf,0.23824277473764302
258,116,1422.pdf,train/1422.pdf,0.2381737363860513
259,1066,2239.pdf,train/2239.pdf,0.23814007336719048
260,1310,1109.pdf,train/1109.pdf,0.23809553322576352
261,2318,2685.pdf,train/2685.pdf,0.2378337041749552
262,848,2969.pdf,train/2969.pdf,0.23779251652167738
263,573,3594.pdf,train/3594.pdf,0.23773603099059942
264,1374,1295.pdf,train/1295.pdf,0.2377139823674137
265,1751,2556.pdf,train/2556.pdf,0.23761447635404356
266,263,1151.pdf,train/1151.pdf,0.23743656061032406
267,158,1740.pdf,train/1740.pdf,0.2374213933390544
268,2071,2540.pdf,train/2540.pdf,0.2372878034185537
269,1622,1476.pdf,train/1476.pdf,0.23722720695962485
270,632,3230.pdf,train/3230.pdf,0.23719701908355156
271,2449,231.pdf,train/231.pdf,0.23719050239080364
272,821,1455.pdf,train/1455.pdf,0.23707583598933152
273,806,1694.pdf,train/1694.pdf,0.23689759382610162
274,1318,1647.pdf,train/1647.pdf,0.23678402704778104
275,1504,309.pdf,train/309.pdf,0.23671559151732488
276,1275,3285.pdf,train/3285.pdf,0.23655217251625493
277,1593,2547.pdf,train/2547.pdf,0.23649217666450453
278,1668,2383.pdf,train/2383.pdf,0.23639594489651844
279,667,2714.pdf,train/2714.pdf,0.23621883988771533
280,1777,3462.pdf,train/3462.pdf,0.23614892885139158
281,2808,2292.pdf,train/2292.pdf,0.23611102454934826
282,893,2943.pdf,train/2943.pdf,0.23605587779902887
283,83,2328.pdf,train/2328.pdf,0.236030657220282
284,1294,3534.pdf,train/3534.pdf,0.23601845730654192
285,828,3295.pdf,train/3295.pdf,0.23600907574898786
286,790,3069.pdf,train/3069.pdf,0.23597005234016813
287,704,1939.pdf,train/1939.pdf,0.23594064763851277
288,617,3026.pdf,train/3026.pdf,0.23581142733626959
289,773,473.pdf,train/473.pdf,0.2356746939446187
290,1600,1270.pdf,train/1270.pdf,0.23554561772194463
291,2401,2041.pdf,train/2041.pdf,0.23538544744965095
292,1601,3467.pdf,train/3467.pdf,0.23536600926457615
293,1852,2635.pdf,train/2635.pdf,0.2353586042346772
294,1201,919.pdf,train/919.pdf,0.23532846144519096
295,373,2931.pdf,train/2931.pdf,0.2352836853666338
296,762,1326.pdf,train/1326.pdf,0.23524675528777195
297,12,1755.pdf,train/1755.pdf,0.23521296972910832
298,121,1387.pdf,train/1387.pdf,0.2351887136904774
299,97,1634.pdf,train/1634.pdf,0.23501882620849707
300,688,3634.pdf,train/3634.pdf,0.23497183174520583
301,1991,3065.pdf,train/3065.pdf,0.23488944147196417
302,310,2706.pdf,train/2706.pdf,0.23486372493891397
303,343,572.pdf,train/572.pdf,0.2348020877040589
304,889,2214.pdf,train/2214.pdf,0.23456248257610887
305,1425,1298.pdf,train/1298.pdf,0.2345586776799844
306,1367,2763.pdf,train/2763.pdf,0.2345426017266797
307,605,2477.pdf,train/2477.pdf,0.23442604259653246
308,1599,2792.pdf,train/2792.pdf,0.23441990993668166
309,2412,3388.pdf,train/3388.pdf,0.2342119273666565
310,899,2980.pdf,train/2980.pdf,0.23409584620709473
311,410,1343.pdf,train/1343.pdf,0.23399617209520762
312,2662,795.pdf,train/795.pdf,0.23389731679209003
313,1688,3506.pdf,train/3506.pdf,0.23378866667749582
314,1568,1064.pdf,train/1064.pdf,0.23376577784501976
315,982,471.pdf,train/471.pdf,0.23374807659743888
316,2021,1303.pdf,train/1303.pdf,0.23361590227029572
317,2399,2055.pdf,train/2055.pdf,0.23346166056918433
318,2329,43.pdf,train/43.pdf,0.2334119663816418
319,944,841.pdf,train/841.pdf,0.23332155654755427
320,1984,1896.pdf,train/1896.pdf,0.2332647004117778
321,602,398.pdf,train/398.pdf,0.23324787651262552
322,2118,2731.pdf,train/2731.pdf,0.23323890611210613
323,1664,1107.pdf,train/1107.pdf,0.23316349362820327
324,412,3232.pdf,train/3232.pdf,0.2331278746990863
325,2169,1629.pdf,train/1629.pdf,0.23307331829293002
326,2660,1229.pdf,train/1229.pdf,0.23303550437898038
327,326,3381.pdf,train/3381.pdf,0.23297673875155278
328,2634,232.pdf,train/232.pdf,0.23295178400009128
329,154,1754.pdf,train/1754.pdf,0.2328018890295279
330,1264,3332.pdf,train/3332.pdf,0.2327728494828914
331,30,1543.pdf,train/1543.pdf,0.23255046851329791
332,2373,2121.pdf,train/2121.pdf,0.23249794665794815
333,1962,32.pdf,train/32.pdf,0.23239525417832016
334,2706,352.pdf,train/352.pdf,0.23237894662141653
335,845,2028.pdf,train/2028.pdf,0.23224933485179686
336,2123,627.pdf,train/627.pdf,0.23207386629001744
337,494,3390.pdf,train/3390.pdf,0.23204703238815294
338,1449,1313.pdf,train/1313.pdf,0.23203017774460213
339,1754,1711.pdf,train/1711.pdf,0.23190230321135155
340,2792,596.pdf,train/596.pdf,0.2318410491150551
341,1080,2007.pdf,train/2007.pdf,0.23182676118570086
342,2628,1954.pdf,train/1954.pdf,0.23178347293739604
343,303,2712.pdf,train/2712.pdf,0.23170766872057455
344,2166,2335.pdf,train/2335.pdf,0.2317020834196931
345,1671,1846.pdf,train/1846.pdf,0.23157481881222397
346,1186,110.pdf,train/110.pdf,0.23153463647657746
347,49,612.pdf,train/612.pdf,0.2313828079427622
348,488,2717.pdf,train/2717.pdf,0.23102556680483158
349,979,1697.pdf,train/1697.pdf,0.23101857724012245
350,1266,2992.pdf,train/2992.pdf,0.2309957971224186
351,1386,3131.pdf,train/3131.pdf,0.23089462749330833
352,2121,141.pdf,train/141.pdf,0.23084968340233644
353,1574,1919.pdf,train/1919.pdf,0.23059410354209364
354,456,3227.pdf,train/3227.pdf,0.2305592418273159
355,1096,893.pdf,train/893.pdf,0.23052679140275523
356,2722,1176.pdf,train/1176.pdf,0.23044295040317148
357,1728,3116.pdf,train/3116.pdf,0.2303455954880752
358,2115,3361.pdf,train/3361.pdf,0.23033031034493937
359,2146,2889.pdf,train/2889.pdf,0.2301843579382703
360,1320,2428.pdf,train/2428.pdf,0.23016516187229755
361,1791,31.pdf,train/31.pdf,0.2301057109256509
362,819,3530.pdf,train/3530.pdf,0.22991103752393133
363,321,758.pdf,train/758.pdf,0.22973006382210634
364,492,2065.pdf,train/2065.pdf,0.22971119409071822
365,349,2299.pdf,train/2299.pdf,0.2295202707437521
366,212,177.pdf,train/177.pdf,0.22950602910438855
367,2677,622.pdf,train/622.pdf,0.22946667526384448
368,1899,521.pdf,train/521.pdf,0.22934289224061713
369,2480,1570.pdf,train/1570.pdf,0.22926274743551125
370,1584,1714.pdf,train/1714.pdf,0.22914661592478697
371,1865,1506.pdf,train/1506.pdf,0.22906972829293343
372,1116,3251.pdf,train/3251.pdf,0.22895933517723005
373,510,1034.pdf,train/1034.pdf,0.22886754274723253
374,2450,1996.pdf,train/1996.pdf,0.22885986926885943
375,2739,1360.pdf,train/1360.pdf,0.22884067933374153
376,2410,3405.pdf,train/3405.pdf,0.2285849175766377
377,1388,3119.pdf,train/3119.pdf,0.22849609285298825
378,453,417.pdf,train/417.pdf,0.2284718944314682
379,1075,3494.pdf,train/3494.pdf,0.22840858917573606
380,1784,1498.pdf,train/1498.pdf,0.22834638608402
381,2395,2874.pdf,train/2874.pdf,0.22827514461619913
382,2065,2568.pdf,train/2568.pdf,0.22817858630584897
383,2231,3412.pdf,train/3412.pdf,0.2281775681126225
384,517,2501.pdf,train/2501.pdf,0.22817293928816637
385,2569,53.pdf,train/53.pdf,0.2280842122246234
386,1528,686.pdf,train/686.pdf,0.22799374695667182
387,60,3234.pdf,train/3234.pdf,0.22796201286776602
388,180,1030.pdf,train/1030.pdf,0.2279588376397027
389,1085,2013.pdf,train/2013.pdf,0.22794281199496935
390,2186,424.pdf,train/424.pdf,0.22778182617066686
391,2447,1969.pdf,train/1969.pdf,0.22771935185825343
392,1973,696.pdf,train/696.pdf,0.22767759472090285
393,2271,2518.pdf,train/2518.pdf,0.22766724495579843
394,402,2676.pdf,train/2676.pdf,0.22756647455280377
395,916,2837.pdf,train/2837.pdf,0.22754335199487655
396,2174,1167.pdf,train/1167.pdf,0.22749507160576038
397,2064,1075.pdf,train/1075.pdf,0.22749500592478936
398,798,1125.pdf,train/1125.pdf,0.2274783672204847
399,1168,3250.pdf,train/3250.pdf,0.22747006727022936
400,640,3224.pdf,train/3224.pdf,0.2274389356662769
401,593,2649.pdf,train/2649.pdf,0.22742755517297458
402,854,3493.pdf,train/3493.pdf,0.2274107627955118
403,1717,3499.pdf,train/3499.pdf,0.22739997095214648
404,24,772.pdf,train/772.pdf,0.22736136023944384
405,209,3419.pdf,train/3419.pdf,0.22731861017813118
406,54,3546.pdf,train/3546.pdf,0.22729417287014572
407,393,3597.pdf,train/3597.pdf,0.22726713732643894
408,157,3631.pdf,train/3631.pdf,0.22725740871184005
409,1760,1063.pdf,train/1063.pdf,0.22713291768876925
410,1652,1890.pdf,train/1890.pdf,0.2271026075759363
411,553,2098.pdf,train/2098.pdf,0.22710009613575974
412,117,1350.pdf,train/1350.pdf,0.22702222620664683
413,1862,1260.pdf,train/1260.pdf,0.22685465204877034
414,2051,3312.pdf,train/3312.pdf,0.22680520322387532
415,920,100.pdf,train/100.pdf,0.2267931301973678
416,2604,740.pdf,train/740.pdf,0.22679252272915545
417,253,2459.pdf,train/2459.pdf,0.22679068249543202
418,2614,1015.pdf,train/1015.pdf,0.22664165496730612
419,1051,1917.pdf,train/1917.pdf,0.22653918649987262
420,1715,3300.pdf,train/3300.pdf,0.226416030949838
421,1898,253.pdf,train/253.pdf,0.22639985517250158
422,1775,1513.pdf,train/1513.pdf,0.2263543753329448
423,505,2529.pdf,train/2529.pdf,0.2263510698412616
424,1472,1688.pdf,train/1688.pdf,0.22627929663419
425,1660,1675.pdf,train/1675.pdf,0.2262369249599005
426,188,2263.pdf,train/2263.pdf,0.22620412610378365
427,29,996.pdf,train/996.pdf,0.22619280577835055
428,286,2882.pdf,train/2882.pdf,0.22617349838306056
429,1378,2788.pdf,train/2788.pdf,0.22615271022738634
430,1130,307.pdf,train/307.pdf,0.22607355390303846
431,82,3036.pdf,train/3036.pdf,0.22605358194162023
432,1420,730.pdf,train/730.pdf,0.22603576190076918
433,2576,152.pdf,train/152.pdf,0.2259075518361334
434,2000,495.pdf,train/495.pdf,0.2258820699483264
435,611,1142.pdf,train/1142.pdf,0.225736787844918
436,1755,2218.pdf,train/2218.pdf,0.22570600313158828
437,1008,3309.pdf,train/3309.pdf,0.22558182489798093
438,663,3350.pdf,train/3350.pdf,0.22552734698749055
439,140,3433.pdf,train/3433.pdf,0.22541316758593577
440,691,2264.pdf,train/2264.pdf,0.2253302932808678
441,2697,3576.pdf,train/3576.pdf,0.22532751647117802
442,1766,736.pdf,train/736.pdf,0.22521723925594134
443,2028,873.pdf,train/873.pdf,0.22509020555060058
444,757,895.pdf,train/895.pdf,0.2250552539972119
445,2098,3605.pdf,train/3605.pdf,0.2249782603311406
446,397,166.pdf,train/166.pdf,0.22493782451798278
447,2394,157.pdf,train/157.pdf,0.22489442174209967
448,2235,2903.pdf,train/2903.pdf,0.22482833348957904
449,1586,1066.pdf,train/1066.pdf,0.22482524398421336
450,1364,2993.pdf,train/2993.pdf,0.22479933146776654
451,2007,2434.pdf,train/2434.pdf,0.22477509701238407
452,1891,284.pdf,train/284.pdf,0.22474964096053973
453,358,2500.pdf,train/2500.pdf,0.2247340522301968
454,1736,518.pdf,train/518.pdf,0.2245831833051144
455,825,880.pdf,train/880.pdf,0.22449591095413546
456,1774,3304.pdf,train/3304.pdf,0.22448221582819577
457,2682,2640.pdf,train/2640.pdf,0.2244496382359279
458,1952,641.pdf,train/641.pdf,0.22442372937026492
459,2183,1832.pdf,train/1832.pdf,0.22434788307092263
460,2687,3238.pdf,train/3238.pdf,0.22428531173680938
461,348,3187.pdf,train/3187.pdf,0.22424892028902935
462,2730,347.pdf,train/347.pdf,0.22424387585304884
463,2705,434.pdf,train/434.pdf,0.22421240826927497
464,886,3136.pdf,train/3136.pdf,0.22411876311520645
465,608,2339.pdf,train/2339.pdf,0.22410428281704867
466,2175,1173.pdf,train/1173.pdf,0.22401084002038651
467,184,1742.pdf,train/1742.pdf,0.2240029637182272
468,2325,2134.pdf,train/2134.pdf,0.22387714300933104
469,1064,1056.pdf,train/1056.pdf,0.22380495682124785
470,443,1140.pdf,train/1140.pdf,0.22379969455090834
471,2044,2193.pdf,train/2193.pdf,0.22376010759112552
472,1179,662.pdf,train/662.pdf,0.22374833620505716
473,156,3625.pdf,train/3625.pdf,0.2237340836155906
474,2693,3562.pdf,train/3562.pdf,0.22364632407293372
475,2217,140.pdf,train/140.pdf,0.22360489279454265
476,2108,3375.pdf,train/3375.pdf,0.22355831757732317
477,1807,3264.pdf,train/3264.pdf,0.22346505400351097
478,2703,1822.pdf,train/1822.pdf,0.223398476013717
